uf,beneficiarios,pct_nacional
BA,1886119,12.82
SP,1687621,11.47
PE,1205305,8.19
MG,1120933,7.62
CE,1108810,7.53
PA,984942,6.69
MA,982245,6.67
RJ,976032,6.63
PB,532506,3.62
PI,464722,3.16
AM,418671,2.85
AL,417202,2.84
PR,406063,2.76
RS,397790,2.7
RN,372012,2.53
GO,320520,2.18
SE,294697,2.0
ES,204146,1.39
MT,170728,1.16
SC,138492,0.94
MS,137507,0.93
TO,123261,0.84
AC,92938,0.63
DF,87328,0.59
RO,84914,0.58
AP,78457,0.53
RR,54401,0.37
